DATASET_NAME,SOURCE,SENSOR,PARAMETER,PROJ_NAME,SDPN,DS_SHORT_NAME,TOPIC,TERM,SOURCE_TYPE
LIS/OTD 2.5 DEGREE LOW RES ANNUAL DIURNAL CLIMATOLOGY (LRADC),TRMM,LIS,LIGHTNING,TRMM,,lolradc,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
NAMMA DIODE LASER HYGROMETER (DLH),NASA DC-8,DIODE LASER HYGROMETER,WATER VAPOR,NAMMA,,namdlh,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
NAMMA DIODE LASER HYGROMETER (DLH),NASA DC-8,DIODE LASER HYGROMETER,DEW POINT TEMPERATURE,NAMMA,,namdlh,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
NAMMA DIODE LASER HYGROMETER (DLH),NASA DC-8,DIODE LASER HYGROMETER,WATER VAPOR PROFILES,NAMMA,,namdlh,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
NAMMA DIODE LASER HYGROMETER (DLH),NASA DC-8,DIODE LASER HYGROMETER,WATER VAPOR TENDENCY,NAMMA,,namdlh,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
NAMMA TWO-DIMENSIONAL STEREO PROBE AND CLOUD PARTICLE IMAGER,NASA DC-8,PMS 2D-S PROBE,AEROSOL PARTICLE PROPERTIES,NAMMA,,nam2ds,ATMOSPHERE,AEROSOLS,AIRCRAFT
NAMMA TWO-DIMENSIONAL STEREO PROBE AND CLOUD PARTICLE IMAGER,NASA DC-8,PMS 2D-S PROBE,DROPLET CONCENTRATION/SIZE,NAMMA,,nam2ds,ATMOSPHERE,CLOUDS,AIRCRAFT
NAMMA TWO-DIMENSIONAL STEREO PROBE AND CLOUD PARTICLE IMAGER,NASA DC-8,PMS 2D-S PROBE,HYDROMETEORS,NAMMA,,nam2ds,ATMOSPHERE,PRECIPITATION,AIRCRAFT
NAMMA TWO-DIMENSIONAL STEREO PROBE AND CLOUD PARTICLE IMAGER,NASA DC-8,CLOUD PARTICLE IMAGER,AEROSOL PARTICLE PROPERTIES,NAMMA,,nam2ds,ATMOSPHERE,AEROSOLS,AIRCRAFT
NAMMA TWO-DIMENSIONAL STEREO PROBE AND CLOUD PARTICLE IMAGER,NASA DC-8,CLOUD PARTICLE IMAGER,DROPLET CONCENTRATION/SIZE,NAMMA,,nam2ds,ATMOSPHERE,CLOUDS,AIRCRAFT
NAMMA TWO-DIMENSIONAL STEREO PROBE AND CLOUD PARTICLE IMAGER,NASA DC-8,CLOUD PARTICLE IMAGER,HYDROMETEORS,NAMMA,,nam2ds,ATMOSPHERE,PRECIPITATION,AIRCRAFT
NAMMA CARBON MONOXIDE BY ATTENUATED LASER TRANSMISSION (COBALT),NASA DC-8,LASER ABSORPTION SPECTROMETER,CARBON MONOXIDE,NAMMA,,namcobalt,ATMOSPHERE,AIR QUALITY,AIRCRAFT
NAMMA MODIS/AQUA AND MODIS/TERRA DEEP BLUE PRODUCTS,TERRA,MODIS,AEROSOL OPTICAL DEPTH/THICKNESS,NAMMA,,namdblue,ATMOSPHERE,AEROSOLS,SATELLITE
NAMMA MODIS/AQUA AND MODIS/TERRA DEEP BLUE PRODUCTS,AQUA,MODIS,AEROSOL OPTICAL DEPTH/THICKNESS,NAMMA,,namdblue,ATMOSPHERE,AEROSOLS,SATELLITE
NAMMA MODIS/AQUA AND MODIS/TERRA DEEP BLUE PRODUCTS,TERRA,MODIS,VISIBLE IMAGERY,NAMMA,,namdblue,SPECTRAL/ENGINEERING,VISIBLE WAVELENGTHS,SATELLITE
NAMMA MODIS/AQUA AND MODIS/TERRA DEEP BLUE PRODUCTS,AQUA,MODIS,VISIBLE IMAGERY,NAMMA,,namdblue,SPECTRAL/ENGINEERING,VISIBLE WAVELENGTHS,SATELLITE
NAMMA MODIS/AQUA AND MODIS/TERRA DEEP BLUE PRODUCTS,TERRA,MODIS,ANGSTROM EXPONENT,NAMMA,,namdblue,ATMOSPHERE,AEROSOLS/AEROSOL OPTICAL DEPTH/THICKNESS,SATELLITE
NAMMA MODIS/AQUA AND MODIS/TERRA DEEP BLUE PRODUCTS,AQUA,MODIS,ANGSTROM EXPONENT,NAMMA,,namdblue,ATMOSPHERE,AEROSOLS/AEROSOL OPTICAL DEPTH/THICKNESS,SATELLITE
NAMMA LIGHTNING ZEUS DATA,GROUND STATIONS,SFERICS DETECTOR,LIGHTNING,NAMMA,,namzeus,ATMOSPHERE,ATMOSPHERIC PHENOMENA,IN SITU LAND BASED
NAMMA LIGHTNING ZEUS DATA,GROUND STATIONS,GPS CLOCK,DATA SYNCHRONIZATION TIME,NAMMA,,namzeus,SPECTRAL/ENGINEERING,PLATFORM CHARACTERISTICS,IN SITU LAND BASED
NAMMA NASA POLARIMETRIC DOPPLER WEATHER RADAR (NPOL),GROUND STATIONS,NPOL RADAR,RADAR REFLECTIVITY,NAMMA,,namnpol,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
CAMEX-3 NAST-I RADIANCE PRODUCTS,NASA ER-2,NAST-I,TRACE GASES,CAMEX-3,M244,er2nasti,ATMOSPHERE,ATMOSPHERIC CHEMISTRY,AIRCRAFT
CAMEX-3 NAST-I RADIANCE PRODUCTS,NASA ER-2,NAST-I,MOISTURE PROFILES,CAMEX-3,M244,er2nasti,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
CAMEX-3 NAST-I RADIANCE PRODUCTS,NASA ER-2,NAST-I,BOUNDARY LAYER TEMPERATURE,CAMEX-3,M244,er2nasti,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,AIRCRAFT
CAMEX-3 NAST-I RADIANCE PRODUCTS,NASA ER-2,NAST-I,BRIGHTNESS TEMPERATURE,CAMEX-3,M244,er2nasti,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,AIRCRAFT
CAMEX-3 NAST-I RADIANCE PRODUCTS,NASA ER-2,NAST-I,BRIGHTNESS TEMPERATURE,CAMEX-3,M244,er2nasti,SPECTRAL/ENGINEERING,MICROWAVE,AIRCRAFT
LIGHTNING IMAGING SENSOR (LIS) SCIENCE DATA,TRMM,LIS,LIGHTNING,TRMM,M-232,lislip,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
TCSP MISSION REPORTS,MISSION REPORTS,HUMAN OBSERVER,HURRICANES,TCSP,,tcspmisrep,ATMOSPHERE,ATMOSPHERIC PHENOMENA,MAP/CHART/MODEL
LIS/OTD 2.5 DEGREE LOW RESOLUTION MONTHLY TIME SERIES (LRMTS),MICROLAB-1,OTD,LIGHTNING,TRMM,,lolrmts,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
LIS/OTD 2.5 DEGREE LOW RESOLUTION MONTHLY TIME SERIES (LRMTS),TRMM,LIS,LIGHTNING,TRMM,,lolrmts,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
NAMMA HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA DC-8,RADIOSONDES,AIR TEMPERATURE,NAMMA,,namhamsr,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,AIRCRAFT
NAMMA HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA DC-8,HAMSR,WATER VAPOR,NAMMA,,namhamsr,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
NAMMA HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA DC-8,RADIOSONDES,WATER VAPOR PROFILES,NAMMA,,namhamsr,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
NAMMA SECOND GENERATION AIRBORNE PRECIPITATION RADAR (APR-2),NASA DC-8,APR-2,RADAR REFLECTIVITY,NAMMA,,namapr2,SPECTRAL/ENGINEERING,RADAR,AIRCRAFT
NAMMA HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA DC-8,RADIOSONDES,BRIGHTNESS TEMPERATURE,NAMMA,,namhamsr,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,AIRCRAFT
NAMMA SECOND GENERATION AIRBORNE PRECIPITATION RADAR (APR-2),NASA DC-8,APR-2,DOPPLER VELOCITY,NAMMA,,namapr2,SPECTRAL/ENGINEERING,RADAR,AIRCRAFT
NAMMA SECOND GENERATION AIRBORNE PRECIPITATION RADAR (APR-2),NASA DC-8,APR-2,RADAR BACKSCATTER,NAMMA,,namapr2,SPECTRAL/ENGINEERING,RADAR,AIRCRAFT
NAMMA SECOND GENERATION AIRBORNE PRECIPITATION RADAR (APR-2),NASA DC-8,APR-2,PRECIPITATION RATE,NAMMA,,namapr2,ATMOSPHERE,PRECIPITATION,AIRCRAFT
NAMMA TOGA RADAR DATA,GROUND STATIONS,TOGA RADAR,RADAR REFLECTIVITY,NAMMA,,namtoga,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
TC4 AMPR BRIGHTNESS TEMPERATURE (TB),NASA ER-2,AMPR,BRIGHTNESS TEMPERATURE,TC4,,tc4ampr,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,AIRCRAFT
LIGHTNING DETECTION AND RANGING (LDAR) RAW DATA,LIGHTNING DETECTION AND RANGING,RF ANTENNA,LIGHTNING,LIS,M-228,ldarraw,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,GROUND BASED NETWORK
ACES CONTINUOUS DATA,ALTUS,DUAL OPTICAL PULSE SENSOR,LIGHTNING,ACES,,aces1cont,ATMOSPHERE,ATMOSPHERIC PHENOMENA,AIRCRAFT
ACES CONTINUOUS DATA,ALTUS,SLOW ANTENNA,RADIO WAVE FLUX,ACES,,aces1cont,SPECTRAL/ENGINEERING,RADIO WAVE,AIRCRAFT
ACES CONTINUOUS DATA,ALTUS,FAST ANTENNA,RADIO WAVE FLUX,ACES,,aces1cont,SPECTRAL/ENGINEERING,RADIO WAVE,AIRCRAFT
ACES CONTINUOUS DATA,ALTUS,ELECTRIC FIELD MILL,ELECTRIC FIELD,ACES,,aces1cont,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,AIRCRAFT
ACES CONTINUOUS DATA,ALTUS,DUAL OPTICAL PULSE SENSOR,LIGHTNING,ACES,,aces1cont,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,AIRCRAFT
TC4 AMPR BRIGHTNESS TEMPERATURE (TB),NASA ER-2,AMPR,BRIGHTNESS TEMPERATURE,TC4,,tc4ampr,SPECTRAL/ENGINEERING,MICROWAVE,AIRCRAFT
ACES CONTINUOUS DATA,ALTUS,SEARCHCOIL MAGNETOMETER,MAGNETIC FIELD,ACES,,aces1cont,SOLID EARTH,GEOMAGNETISM,AIRCRAFT
ACES CONTINUOUS DATA,ALTUS,ACCELEROMETER,TURBULENCE,ACES,,aces1cont,ATMOSPHERE,ATMOSPHERIC WINDS,AIRCRAFT
ACES CONTINUOUS DATA,ALTUS,GERDIEN CONDUCTIVITY PROBE,ATMOSPHERIC CONDUCTIVITY,ACES,,aces1cont,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,AIRCRAFT
ACES CONTINUOUS DATA,ALTUS,FLUXGATE MAGNETOMETER,MAGNETIC FIELD,ACES,,aces1cont,SOLID EARTH,GEOMAGNETISM,AIRCRAFT
ACES ELECTRIC FIELD MILL,ALTUS,ELECTRIC FIELD MILL,ELECTRIC FIELD,ACES,,aces1efm,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,AIRCRAFT
ACES LOG DATA,ALTUS,ALTUS DATA COLLECTION SYSTEM,FLIGHT DATA LOGS,ACES,,aces1log,SPECTRAL/ENGINEERING,PLATFORM CHARACTERISTICS,AIRCRAFT
ACES TIMING DATA,ALTUS,CLOCKS,DATA SYNCHRONIZATION TIME,ACES,,aces1time,SPECTRAL/ENGINEERING,PLATFORM CHARACTERISTICS,AIRCRAFT
ACES TRIGGERED DATA,ALTUS,SEARCHCOIL MAGNETOMETER,MAGNETIC FIELD,ACES,,aces1trig,SOLID EARTH,GEOMAGNETISM,AIRCRAFT
ACES TRIGGERED DATA,ALTUS,ACCELEROMETER,TURBULENCE,ACES,,aces1trig,ATMOSPHERE,ATMOSPHERIC WINDS,AIRCRAFT
ACES TRIGGERED DATA,ALTUS,DUAL OPTICAL PULSE SENSOR,LIGHTNING,ACES,,aces1trig,ATMOSPHERE,ATMOSPHERIC PHENOMENA,AIRCRAFT
ACES TRIGGERED DATA,ALTUS,SLOW ANTENNA,RADIO WAVE FLUX,ACES,,aces1trig,SPECTRAL/ENGINEERING,RADIO WAVE,AIRCRAFT
ACES TRIGGERED DATA,ALTUS,FAST ANTENNA,RADIO WAVE FLUX,ACES,,aces1trig,SPECTRAL/ENGINEERING,RADIO WAVE,AIRCRAFT
ACES TRIGGERED DATA,ALTUS,ELECTRIC FIELD MILL,ELECTRIC FIELD,ACES,,aces1trig,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,AIRCRAFT
ACES TRIGGERED DATA,ALTUS,DUAL OPTICAL PULSE SENSOR,LIGHTNING,ACES,,aces1trig,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,AIRCRAFT
ACES TRIGGERED DATA,ALTUS,OPTICAL PULSE SENSOR,LIGHTNING,ACES,,aces1trig,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,AIRCRAFT
CAMEX-4 ANDROS ISLAND RAWINSONDE AND RADIOSONDES,WEATHER BALLOON,BAROMETERS,ATMOSPHERIC PRESSURE MEASUREMENTS,CAMEX-4,M-306,c4gandros,ATMOSPHERE,ATMOSPHERIC PRESSURE,BALLOON/ROCKET
TCSP GOES VISIBLE AND INFRARED IMAGES,GOES-11,GOES-11 IMAGER,VISIBLE RADIANCE,TCSP,,tcspgoes,SPECTRAL/ENGINEERING,VISIBLE WAVELENGTHS,SATELLITE
TCSP GOES VISIBLE AND INFRARED IMAGES,GOES-11,GOES-11 IMAGER,INFRARED RADIANCE,TCSP,,tcspgoes,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
TCSP GOES VISIBLE AND INFRARED IMAGES,GOES-12,GOES-12 IMAGER,VISIBLE RADIANCE,TCSP,,tcspgoes,SPECTRAL/ENGINEERING,VISIBLE WAVELENGTHS,SATELLITE
CAMEX-3 AIRBORNE VERTICAL ATMOSPHERE PROFILING SYSTEM (AVAPS),DROPWINDSONDES,THERMISTOR,AIR TEMPERATURE,CAMEX-3,M-253,dc8avaps,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,INSTRUMENT PACKAGE
CAMEX-3 AIRBORNE VERTICAL ATMOSPHERE PROFILING SYSTEM (AVAPS),DROPWINDSONDES,FILM HYGROMETER,HUMIDITY,CAMEX-3,M-253,dc8avaps,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,INSTRUMENT PACKAGE
NAMMA HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA DC-8,HAMSR,AIR TEMPERATURE,NAMMA,,namhamsr,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,AIRCRAFT
NAMMA HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA DC-8,RADIOSONDES,WATER VAPOR,NAMMA,,namhamsr,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
NAMMA HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA DC-8,HAMSR,WATER VAPOR PROFILES,NAMMA,,namhamsr,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
NAMMA HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA DC-8,RADIOSONDES,BRIGHTNESS TEMPERATURE,NAMMA,,namhamsr,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,AIRCRAFT
NAMMA HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA DC-8,HAMSR,BRIGHTNESS TEMPERATURE,NAMMA,,namhamsr,SPECTRAL/ENGINEERING,MICROWAVE,AIRCRAFT
CAMEX-4 HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA ER-2,RADIOSONDES,AIR TEMPERATURE,CAMEX-4,,c4ehamsr,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,AIRCRAFT
CAMEX-4 HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA ER-2,RADIOSONDES,WATER VAPOR,CAMEX-4,,c4ehamsr,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
CAMEX-4 HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA ER-2,RADIOSONDES,CLOUD LIQUID WATER/ICE,CAMEX-4,,c4ehamsr,ATMOSPHERE,CLOUDS,AIRCRAFT
TCSP HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA ER-2,RADIOSONDES,AIR TEMPERATURE,TCSP,,tcsphamsr,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,AIRCRAFT
TCSP HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA ER-2,RADIOSONDES,WATER VAPOR,TCSP,,tcsphamsr,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
TCSP HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA ER-2,RADIOSONDES,CLOUD LIQUID WATER/ICE,TCSP,,tcsphamsr,ATMOSPHERE,CLOUDS,AIRCRAFT
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-7,LANDSAT-7,SEDIMENTATION,SANDS,,slgeo,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-7,LANDSAT-7,SEDIMENT TRANSPORT,SANDS,,slgeo,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-7,LANDSAT-7,SEDIMENTS,SANDS,,slgeo,LAND SURFACE,EROSION/SEDIMENTATION,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-5,LANDSAT-5,SEDIMENTATION,SANDS,,slgeo,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-5,LANDSAT-5,SEDIMENT TRANSPORT,SANDS,,slgeo,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-5,LANDSAT-5,SEDIMENTS,SANDS,,slgeo,LAND SURFACE,EROSION/SEDIMENTATION,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-5,MULTISPECTRAL SCANNER (MSS),SEDIMENTATION,SANDS,,slgeo,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-5,MULTISPECTRAL SCANNER (MSS),SEDIMENT TRANSPORT,SANDS,,slgeo,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-5,MULTISPECTRAL SCANNER (MSS),SEDIMENTS,SANDS,,slgeo,LAND SURFACE,EROSION/SEDIMENTATION,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-5,THEMATIC MAPPER (TM),SEDIMENTATION,SANDS,,slgeo,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-5,THEMATIC MAPPER (TM),SEDIMENT TRANSPORT,SANDS,,slgeo,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-5,THEMATIC MAPPER (TM),SEDIMENTS,SANDS,,slgeo,LAND SURFACE,EROSION/SEDIMENTATION,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-7,ENHANCED THEMATIC MAPPER PLUS (ETM+),SEDIMENTATION,SANDS,,slgeo,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) LANDSAT GEOTIFF,LANDSAT-7,ENHANCED THEMATIC MAPPER PLUS (ETM+),SEDIMENT TRANSPORT,SANDS,,slgeo,OCEANS,COASTAL PROCESSES,SATELLITE
NAMMA SMART-COMMIT MOBILE LABORATORIES,SMART-COMMIT,AERI,LONGWAVE RADIATION,NAMMA,,namsmart,ATMOSPHERE,ATMOSPHERIC RADIATION,INSTRUMENT PACKAGE
NAMMA SMART-COMMIT MOBILE LABORATORIES,SMART-COMMIT,MICROPULSE LIDAR,AEROSOL BACKSCATTER,NAMMA,,namsmart,ATMOSPHERE,AEROSOLS,INSTRUMENT PACKAGE
NAMMA SMART-COMMIT MOBILE LABORATORIES,SMART-COMMIT,PYRHELIOMETER,SOLAR IRRADIANCE,NAMMA,,namsmart,ATMOSPHERE,ATMOSPHERIC RADIATION,INSTRUMENT PACKAGE
NAMMA SMART-COMMIT MOBILE LABORATORIES,SMART-COMMIT,PHOTOMETER,ABSORPTION,NAMMA,,namsmart,ATMOSPHERE,ATMOSPHERIC RADIATION,INSTRUMENT PACKAGE
NAMMA SMART-COMMIT MOBILE LABORATORIES,SMART-COMMIT,RADIOSONDES,AEROSOL OPTICAL DEPTH/THICKNESS,NAMMA,,namsmart,ATMOSPHERE,AEROSOLS,INSTRUMENT PACKAGE
NAMMA SMART-COMMIT MOBILE LABORATORIES,SMART-COMMIT,RADIOSONDES,SHORTWAVE RADIATION,NAMMA,,namsmart,ATMOSPHERE,ATMOSPHERIC RADIATION,INSTRUMENT PACKAGE
NAMMA SMART-COMMIT MOBILE LABORATORIES,SMART-COMMIT,RADIOSONDES,ULTRAVIOLET RADIATION,NAMMA,,namsmart,ATMOSPHERE,ATMOSPHERIC RADIATION,INSTRUMENT PACKAGE
NAMMA SMART-COMMIT MOBILE LABORATORIES,SMART-COMMIT,RADIOSONDES,LONGWAVE RADIATION,NAMMA,,namsmart,ATMOSPHERE,ATMOSPHERIC RADIATION,INSTRUMENT PACKAGE
NAMMA SMART-COMMIT MOBILE LABORATORIES,SMART-COMMIT,TOTAL SKY IMAGER,SCATTERING,NAMMA,,namsmart,ATMOSPHERE,ATMOSPHERIC RADIATION,INSTRUMENT PACKAGE
