COLLECTION,DATASET_NAME,PROC_LEVEL,DS_START_DATE,DS_STOP_DATE,DS_N_LAT,DS_S_LAT,DS_W_LON,DS_E_LON,LOCATION,FORMAT,TEMP_RESOLUTION,SPATIAL_RESOLUTION,CONTACT,PHONE,INV_NAME,BROWSE_AVAIL,DIF,DS_COMMENTS,IMS_VISIBLE,DS_SHORT_NAME,DIF_ORIGIN,SDPN,RESTRICTED_COMMENTS,IMS_DATE,DS_FTP_URL,LOCAL_VISIBLE,LOCAL_DATE,TRANS_START_DATE,TRANS_STOP_DATE,TRANS_NEW_HOME,LAST_REVIEW_DATE,DISPLAY_DS_NAME,SPONSOR,CATALOG_NAME,SUB_INV,DP_VISIBLE,DP_DATE,DS_TYPE,DP_DIR_PATH,NAV_INV,NAV_DS,BR_FTP_PATH,DATA_LOC,SUBSET_AVAIL,VERSION,COORD_SYSTEM,GRANULE_SPATIAL_REPR,ECHOID,DP_START_DATE,DP_STOP_DATE,REGISTRATION,PERIODIC_UPDATE,INV_COORD,ENTERED,PUSH_LOCALPATH,PUSH_ENABLED,PUSH_DISABLEDBY,PUSH_DISABLEDON,PUSH_BECAUSE
CAMEX-3 Products,CAMEX-3 DC-8 NAVIGATION (DADS) DATA,1,3-Aug-98,23-Sep-98,50,10,-105,-50,CARRIBEAN,GIF ASCII,1 FLIGHT,,RICHARD WOHLMAN,256-922-5932,CAMEX_INV,N,dc8dads,"The CAMEX-3 DC-8 Data Aquisition and Distribution System (DADS) Navigation data files contain information recorded by on board navigation and data collection systems. In addition to typical navigation data (e.g. date, time, lat/lon and altitude), it contains outside meteorological parameters such as wind speed and direction, temperature, cabin altitude, vertical speed, saturation vapor pressure of water and other parameters. These ascii text files are recorded every second for the length of the sortie.  In addition, graphical representations of these measured parameters are shown in .gif files.",Y,dc8dads,GHRC,M-246,,20-May-99,ftp://ghrc.nsstc.nasa.gov/pub2/data/camex3/dc8dads/,Y,11-May-99,,,,1-Jul-10,CAMEX-3 DC-8 Navigation (DADS) Data,CAMEX-3,,,,,,/ftp/public/camex3/dc8dads/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-3 DC-8 NAVIGATION (DADS) DATA V1,,,1,0,0,11-May-99,,,,,
CAMEX-4 Products,CAMEX-4 ER-2 NAVIGATION DATA,1B,20-Jul-01,24-Sep-01,50,10,-100,-60,WESTERN ATLANTIC,"ASC,GIF,PS",DAILY,,SKY YARBROUGH,256-961-7932,CAMEX_INV,N,c4enav,"The CAMEX-4 ER-2 Navigation data files contain information recorded by on board navigation and data collection systems. In addition to typical navigation data (e.g. date, time, lat/lon and altitude) it contains outside meteorological parameters such as wind speed and direction and temperature. These ascii text files are recorded every second for the length of the sortie. Additionally, graphical representations of these measured parameters are shown in .gif files.",Y,c4enav,GHRC,M-293,,8-Feb-02,ftp://camextest.nsstc.nasa.gov/camex4/data/NAV_ER-2/,Y,31-Jan-02,,,,18-Jun-13,CAMEX-4 ER-2 Navigation Data,CAMEX-4,,,,,,/ftp/public/camex4/NAV_ER-2/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 ER-2 NAVIGATION DATA V1,,,1,0,0,31-Jan-02,,,,,
CAMEX-4 Products,CAMEX-4 CONICALLY-SCANNING TWO-LOOK AIRBORNE RADIOMETER (C-STAR),1B,8-Aug-01,24-Sep-01,50,10,-100,-60,WESTERN ATLANTIC,BINARY,DAILY,,FRANK LAFONTAINE,256-961-7796,CAMEX_INV,N,c4dcstar,"The Conically-Scanning Two-look Airborne Radiometer (C-STAR) was deployed during the Fourth Convection and Moisture Experiment (CAMEX-4). C-STAR data were collected at 37GHz (in the microwave part of the electromagnetic spectrum) for the period of 8 Aug 2001 through 24 Sept 2001. The CAMEX-4 missions studied hurricanes over land and ocean in the U.S., Gulf of Mexico, Carribean, and Western Atlantic Ocean, and made use of multiple aircraft and research-quality radar, lightning, and radiosonde sites.",Y,c4dcstar,GHRC,M-294,,1-Mar-02,ftp://camextest.nsstc.nasa.gov/camex4/data/C-STAR/,Y,22-Feb-02,,,,6-Jul-11,CAMEX-4 Conically-Scanning Two-look Airborne Radiometer (C-STAR),CAMEX-4,,,,,,/ftp/public/camex4/C-STAR/data/,,,,GHRC-FC02,N,1a,CARTESIAN,CARTESIAN,CAMEX-4 CONICALLY-SCANNING TWO-LOOK AIRBORNE RADIOMETER (C-STAR) V1a,,,1,0,0,22-Feb-02,,,,,
TCSP Products,TCSP ER-2 MICROWAVE TEMPERATURE PROFILER (MTP),2,18-Jun-05,28-Jul-05,32,4,-115,-62,GULF OF MEXICO,ASCII,DAILY,100m and decreasing,MICHAEL MAHONEY,256-961-7932,CAMEX_INV,N,tcspmtp,"The ER2 MTP is a passive microwave radiometer which measures the thermal emission from oxygen molecules in the atmosphere for a selection of elevation angles (normally 10 between +60 and -58 degrees). The current observing frequencies are 55.5, 56.6 and 58.8 GHz. Measured 'brightness temperature' versus elevation angle is converted to air temperature versus altitude using a modified statistical retrieval procedure with a Bayesian component. An altitude temperature profile (ATP) is produced in this manner every 13 seconds or approximately 3 km along the flight path. The ATP can be used to produce a color-coded temperature curtain (CTC) of the temperature field which the ER2 has flown through, and to identify the tropopause location. ATPs can also be used to locate altitudes where the air is cold enough to condense nitric acid or water vapor to form polar stratospheric clouds (PSCs).",Y,tcspmtp,GHRC,,,12-Apr-06,ftp://tico.nsstc.nasa.gov/tcsp/data/mtp/,Y,31-Mar-06,,,,1-Jul-10,TCSP ER-2 Microwave Temperature Profiler (MTP),TCSP,,,,,,/ftp/public/tcsp/mtp/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,TCSP ER-2 MICROWAVE TEMPERATURE PROFILER (MTP) V1,,,1,0,0,31-Mar-06,,,,,
TCSP Products,TCSP ER-2 MODIS AIRBORNE SIMULATOR (MAS),1B,18-Jun-05,28-Jul-05,32,4,-115,-62,CARIBBEAN SEA,HDF,DAILY,n/a,JEFF MYERS,650-604-3598,CAMEX_INV,N,tcspmas,"The MODIS Airborne Simulator (MAS) is a multi-spectral line-scanner system that acquires image data in 50 spectral bands over wavelengths ranging from 0.46 to 14.3 microns.  Flown on the ER-2 aircraft at an operating altitude of 19.8 km (65,000 ft.) it produces nominal pixel sizes of 50 meters.  MAS includes nine spectral bands in the visible/near infrared, 16 bands in the shortwave infrared, 16 bands in the mid-wave infrared, and nine bands in the thermal infrared regions of the spectrum.  The instrument field-of-view is 86 degrees, with an IFOV of 2.5 mrad.The MODIS Airborne Simulator (MAS) collected calibrated multi-spectral imagery from the ER-2 aircraft during the TCSP experiment.  The MAS was developed by NASA primarily to validate L1B and L2 science products from the EOS satellite program.  MAS data enables (1) the mapping of sub-pixel variation within the co-incident footprints of many orbital instruments (e.g. MODIS, AIRS, HIRS, AVHRR, GOES) in the visible and thermal infrared spectral regions and (2) the estimation of surface, aerosol, and cloud properties at 50 meter spatial resolution.",Y,tcspmas,GHRC,,,9-Mar-06,ftp://tico.nsstc.nasa.gov/tcsp/data/mas/,Y,9-Mar-06,,,,1-Jul-10,TCSP ER-2 MODIS Airborne Simulator (MAS),TCSP,,,,,,/ftp/public/tcsp/mas/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,TCSP ER-2 MODIS AIRBORNE SIMULATOR (MAS) V1,,,1,0,0,9-Mar-06,,,,,
TCSP Products,TCSP CLOUD RADAR SYSTEM (CRS),1B,5-Jul-05,28-Jul-05,32,4,-115,-62,GULF OF MEXICO,UF,ONE FLIGHT,n/a,GERRY HEYMSFIELD,301-614-6369,CAMEX_INV,N,tcspcrs,"The Cloud Radar System (CRS) provides vertically profiled reflectivity and Doppler velocity at aircraft nadir along the flight track.  The CRS is a 94 GHz (W-band; 3 mm wavelength) Doppler radar developed for autonomous operation in the NASA ER-2 high-altitude aircraft and for ground-based operation. It will provide high-resolution profiles of reflectivity and Doppler velocity in clouds and it has important applications to atmospheric remote sensing studies. The CRS was designed to fly with the Cloud Lidar System (CLS), in the tail cone of an ER-2 superpod. There are two basic modes of operation of the CRS: 1) ER-2 with reflectivity, Doppler, and linear-depolarization measurements, and 2) ground-based with full polarimetric capability. The TCSP mission used the ER-2 mode.",Y,tcspcrs,GHRC,,,7-Apr-06,ftp://tico.nsstc.nasa.gov/tcsp/data/crs/,Y,31-Mar-06,,,,6-Jul-11,TCSP Cloud Radar System (CRS),TCSP,,,,,,/ftp/public/tcsp/crs/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,TCSP CLOUD RADAR SYSTEM (CRS) V1,,,1,0,0,31-Mar-06,,,,,
Passive Microwave Products,AMPR BRIGHTNESS TEMPERATURE (TB) TOGA COARE,1B,12-Jan-93,25-Feb-93,0,-21,145,161,S. PACIFIC OCEAN,ASCII,1 DAY,.6-2.8KM,ROBBIE HOOD,256-922-5959,CLIMAT_INV,Y,amprtbtc,"The Advanced Microwave Precipitation Radiometer (AMPR) data set was part of the atmospheric measurements collected during the intensive observation period of the Tropical Ocean Global Atmosphere-Coupled Ocean Atmosphere Response Experiment (TOGA-COARE). AMPR data were collected at a combination of frequencies (10.7, 19 .35, 37.1, and 85.5 GHz) and for the period Jan. 11, 1993 - Feb. 23, 1993. The TOGA COARE geographic domain pertinent to the AMPR data set was from the equator to 21 S latitude and 145 E - 161 E longitude.",Y,amprtbtc,MSFC DAAC,M-34,,11-Jan-93,,Y,11-Jan-93,,,GHRC,13-Nov-13,AMPR Brightness Temperature (TB) TOGA COARE,Other Field Experiments,Advanced Microwave Precipitation Radiometer (AMPR) Data Sets,,,,,/ftp/public/ampr/toga_coare/data/,,,,GHRC-FC02,N,2,CARTESIAN,CARTESIAN,AMPR BRIGHTNESS TEMPERATURE (TB) TOGA COARE V2,,,1,0,0,11-Jan-93,,,,,
Passive Microwave Products,TRMM LBA (LARGE SCALE BIOSPHERE-ATMOSPHERE) EXPERIMENT (AMPR),1B,24-Jan-99,23-Feb-99,6,-16,-76,-49,BRAZIL AMAZON BASIN,ASCII,DAILY,,FRANK LAFONTAINE,256-922-5796,CLIMAT_INV,Y,amprtblba,"The Advanced Microwave Precipitation Radiometer (AMPR) was deployed during the Tropical Rainfall Measuring Mission - Large Scale Biosphere-Atmosphere Experiment (TRMM-LBA); the second of three TRMM ground validation missions.  AMPR data were collected at four distinct microwave frequencies (10.7, 19.35, 37.1 and 85.5 GHz) for the time period of January 23 through February 26, 1999.  The geographic domain of the TRMM-LBA region was wholly within Brazilian Amazon Basin between 16 S to 6N latitude and 76W to 49 W longitude.  The TRMM-LBA mission was to study convection over humid tropical land regions within the range of research-quality radar, lightning, radiosonde and raingage sites located in the Amazon Basin (Rondonia, Brazil).",Y,amprtblba,GHRC,M-255,,25-Jun-99,,Y,25-Jun-99,,,,30-Nov-11,TRMM LBA (Large Scale Biosphere-Atmosphere) Experiment (AMPR),Other Field Experiments,Advanced Microwave Precipitation Radiometer (AMPR) Data Sets,,,,,/ftp/public/pub/data/ampr/trmmlba/,,,,GHRC-LT01,N,1,CARTESIAN,CARTESIAN,TRMM LBA (LARGE SCALE BIOSPHERE-ATMOSPHERE) EXPERIMENT (AMPR) V1,,,1,0,0,25-Jun-99,,,,,
TRMM Microwave Imager (TMI) Wentz Ocean Products,TRMM MICROWAVE IMAGER (TMI) WENTZ OCEAN PRODUCTS,2,17-Sep-06,,38,-38,-180,180,GLOBAL OCEAN,HDF-EOS,DAILY,5-45km ,MATT SMITH,256-922-5809,PM_WOP_INV,N,tmiwop,"The TRMM Microwave Imager (TMI) is a 5-channel, dual-polarized, passive microwave radiometer.  Microwave radiation is emitted by the Earth's surface and by water droplets within clouds.  The TMI is used to measure several important meteorological parameters over sea surfaces.  The TMI, a successor to the SSM/I, measures radiation at frequencies of 10.7, 19.4, 21.3, 37, 85.5 GHz.  It orbits at an altitude of 218 miles, much lower than the SSM/I, thus providing better resolution.",Y,tmiwop,GHRC,M-248,,19-May-99,,Y,23-May-99,,,,22-Nov-11,TRMM Microwave Imager (TMI) Wentz Ocean Products,DISCOVER,,PM_TMIWOP_SUB_INV,Y,,Swath,/ftp/public/pub/data/tmi-op/,,,,GHRC-LT01,Y,3,CARTESIAN,CARTESIAN,TRMM MICROWAVE IMAGER (TMI) WENTZ OCEAN PRODUCTS V3,,,0,1,0,19-May-99,,,,,
Geostationary Satellite Products,GOES WATER VAPOR TRANSPORT,2,5-May-87,30-Nov-88,45,-30,-120,-30,NORTH/SOUTH AMERICA,CD,DAILY,10 DEGREE,,,CLIMAT_INV,N,goeswvt,The GOES Water Vapor Transport CD contains nineteen months of geostationary satellite-derived products spanning the 1987/1988 El Nino Southern Oscillation (ENSO) cycle.  Water vapor transport variables derived from GOES data are provided in daily and monthly gridded and non-gridded formats.,Y,goeswvt,,M-261,,23-Jul-99,,Y,23-Jul-99,,,,4-Nov-09,GOES Water Vapor Transport,Geostationary Satellite Data,,,,,,,,,,GHRC,N,1,CARTESIAN,CARTESIAN,GOES WATER VAPOR TRANSPORT V1,,,0,0,0,23-Jul-99,,,,,
CAMEX-3 Products,CAMEX-3 JPL LASER HYGROMETER,1,6-Aug-98,23-Sep-98,50,10,-105,-50,CARRIBEAN,ASCII,1 FLIGHT,,RICHARD WOHLMAN,256-922-5932,CAMEX_INV,N,dc8laserh,"This dataset was collected during CAMEX-3 in Aug and Sep of 1998, and consists of timeline measurements (one timeline per flight) of water vapor content during each of the DC-8 flights.  Using the JPL Laser Hygrometer making measurements out of the right side of the forward fuselage into the free airstream beyond the boundary layer, in situ moisture measurements were made of the atmosphere in immediate proximity to the aircraft along the flight track.",Y,dc8laserh,GHRC,M-254,,10-Jun-99,ftp://ghrc.nsstc.nasa.gov/pub2/data/camex3/dc8laserh/,Y,10-Jun-99,,,,12-Aug-10,CAMEX-3 JPL Laser Hygrometer,CAMEX-3,,,,,,/ftp/public/camex3/dc8laserh/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-3 JPL LASER HYGROMETER V1,,,1,0,0,10-Jun-99,,,,,
TCSP Products,TCSP MISSION REPORTS,2,1-Jul-05,27-Jul-05,32,4,-115,-62,GULF OF MEXICO,ASCII,DAILY,n/a,ROBBIE HOOD,256-961-7959,CAMEX_INV,N,tcspmisrep,"The Tropical Cloud Systems and Processes (TCSP) Mission Reports were filed every day that an aircraft flew in support of the experiment.  The reports include a short description of the day's mission, its objective and notes.",Y,tcspmisrep,GHRC,,,9-Mar-06,ftp://tico.nsstc.nasa.gov/tcsp/data/mission_reports/,Y,9-Mar-06,,,,1-Jul-10,TCSP Mission Reports,TCSP,,,,,,/ftp/public/tcsp/mission_reports/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,TCSP MISSION REPORTS V1,,,1,0,0,9-Mar-06,,,,,
TCSP Products,TCSP AEROSONDE,1A,7-Jul-05,21-Jul-05,32,4,-115,-62,GULF OF MEXICO,ASCII,1 TAR FILE,n/a,ANTHONY GUILLORY,757-824-2161,CAMEX_INV,N,tcspaero,"Measurements of air temperature, pressure, and relative humidity were made on each flight using two Vaisalla RS902 sondes located under the wings of the aircraft. A Heiltronics KT11.k6 infrared pyrometer was used to measure sea surface temperatures (SST).",Y,tcspaero,GHRC,,,22-Mar-06,ftp://tico.nsstc.nasa.gov/tcsp/data/aerosonde/,Y,22-Mar-06,,,,6-Jul-11,TCSP Aerosonde,TCSP,,,,,,/ftp/public/tcsp/aerosonde/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,TCSP AEROSONDE V1,,,1,0,0,22-Mar-06,,,,,
